序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
39,45,深纺织A,深圳市纺织(集团)股份有限公司,深圳市,福田区,147554.57,5277.61,1335,1994-08-15,--,,显示器件,物业及租赁、纺织品、偏光片、贸易,"以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
40,46,泛海控股,泛海控股股份有限公司,北京市,东城区,838479.66,289131.87,10523,1994-09-12,--,,房地产开发,房地产销售、商品销售、物业出租、物业管理、装修工程,金融、房地产、战略投资等业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
41,48,*ST康达,深圳市康达尔(集团)股份有限公司,深圳市,罗湖区,294272.78,27676.23,1695,1994-11-01,--,,饲料,饲料生产、自来水供应、房地产开发、交通运输、商业贸易、养殖业、物业管理、房屋及土地租赁、金融、工程施工,交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售
42,49,德赛电池,深圳市德赛电池科技股份有限公司,深圳市,南山区,1248597.56,30053.56,10586,1995-03-20,--,,电池,电池及配件,生产制造电源管理系统及各类锂电池
43,50,深天马A,天马微电子股份有限公司,深圳市,福田区,1401250.05,80720.43,16541,1995-03-15,--,,显示器件,电子元器件,从事液晶显示器及相关材料、设备、产品的设计、制造、销售
44,55,方大集团,方大集团股份有限公司,深圳市,南山区,294747.08,114440.44,2150,1996-04-15,--,,其他建材,金属制造业、轨道交通业、新能源产业、房地产业,生产和经营新型建筑材料。
45,56,皇庭国际,深圳市皇庭国际企业股份有限公司,深圳市,福田区,70227.16,17782.37,736,1996-07-08,--,,物业租赁、物业管理,物业租赁、物业管理、贷款、融资租赁、代建,自有商业地产项目的商业运营管理、商场和住宅项目的物业服务管理
46,58,深赛格,深圳赛格股份有限公司,深圳市,福田区,198130.76,21955.33,2763,1996-12-26,--,,专业市场,电子市场经营及物业出租服务、贸易业、酒店业、电子商务业务、金融业,电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。
47,59,华锦股份,北方华锦化学工业股份有限公司,盘锦市,双台子区,3371378.06,184527.97,10233,1997-01-30,--,,石油加工,石化板块产品、化肥板块产品,石油化工产品、化学肥料的生产与销售。
48,60,中金岭南,深圳市中金岭南有色金属股份有限公司,深圳市,福田区,1896658.84,106699.29,9685,1997-01-23,--,,铅锌,精矿产品、冶炼产品、铝型材、幕墙门窗、电池材料、商品房销售、有色金属贸易业务,有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等
